id,cltv
89393,101252.412
89394,115251.4723
89395,101800.533
89396,77938.65125
89397,107643.5442
89398,108837.9281
89399,43599.82697
89400,93015.25664
89401,43541.46218
89402,129223.2093
89403,121080.1847
89404,101084.7069
89405,53280.69206
89406,52537.03996
89407,53093.81219
89408,109454.1722
89409,122559.4252
89410,122668.3088
89411,115251.4723
89412,129465.1763
89413,117100.9755
89414,52964.57786
89415,50854.2512
89416,122668.3088
89417,115029.553
89418,88092.75119
89419,51983.97206
89420,107738.1682
89421,109454.1722
89422,101892.5828
89423,122668.3088
89424,43856.65267
89425,106810.709
89426,114929.3645
89427,102631.6225
89428,115029.553
89429,101534.691
89430,51368.39048
89431,115029.553
89432,110346.5233
89433,54118.52752
89434,51589.2662
89435,51665.02192
89436,109331.3548
89437,51668.7018
89438,123005.2201
89439,53179.71349
89440,122896.0374
89441,109740.7493
89442,50141.58266
89443,109219.5568
89444,51687.19973
89445,122668.3088
89446,88092.75119
89447,123005.2201
89448,122559.4252
89449,122668.3088
89450,122559.4252
89451,114574.1144
89452,114673.9932
89453,122668.3088
89454,114353.4994
89455,122559.4252
89456,115029.553
89457,107572.1412
89458,122559.4252
89459,123005.2201
89460,115029.553
89461,114353.4994
89462,84132.05576
89463,109331.3548
89464,129405.0357
89465,121139.6628
89466,52632.48689
89467,122668.3088
89468,44638.81617
89469,108844.8591
89470,44606.84259
89471,114929.3645
89472,122559.4252
89473,123005.2201
89474,121801.1518
89475,109450.9332
89476,122668.3088
89477,50469.68148
89478,122559.4252
89479,123005.2201
89480,116072.0554
89481,52295.40476
89482,44854.7227
89483,109219.5568
89484,51641.04512
89485,115029.553
89486,114929.3645
89487,114453.1859
89488,77493.56375
89489,51573.8487
89490,100739.8723
89491,110173.0976
89492,109960.9568
89493,43768.93174
89494,51675.12272
89495,101077.7206
89496,107093.534
89497,115029.553
89498,109042.6199
89499,52444.61973
89500,114574.1144
89501,51912.31088
89502,44082.72135
89503,123005.2201
89504,122896.0374
89505,77576.25846
89506,52444.61973
89507,122668.3088
89508,84132.05576
89509,109740.7493
89510,51827.71452
89511,122668.3088
89512,122668.3088
89513,109331.3548
89514,115143.4409
89515,119932.1531
89516,44852.97895
89517,101527.6735
89518,53427.65314
89519,122559.4252
89520,53572.27184
89521,114353.4994
89522,51652.32407
89523,51898.43485
89524,52668.95346
89525,88092.75119
89526,52015.96606
89527,50312.71274
89528,101526.8898
89529,114574.1144
89530,115029.553
89531,115029.553
89532,43591.39418
89533,51599.29143
89534,115262.4815
89535,109617.6103
89536,122559.4252
89537,122668.3088
89538,123005.2201
89539,107560.028
89540,52467.7819
89541,109811.3382
89542,104896.3721
89543,52757.80993
89544,119180.7863
89545,53272.29624
89546,123005.2201
89547,84132.05576
89548,107457.8262
89549,115398.4331
89550,51977.93567
89551,115874.967
89552,101800.533
89553,109331.3548
89554,51954.74672
89555,52122.40618
89556,108837.9281
89557,122668.3088
89558,122896.0374
89559,114566.5031
89560,51215.46765
89561,109740.7493
89562,122896.0374
89563,85181.05692
89564,123005.2201
89565,80733.29491
89566,122668.3088
